experiment_id,nsc,highest_tested_concentration,cell_line,log_ec50,response_zero,response_inflection,hill_slope,log_ic50
28986,762154,1.00E-05,NCI-H1048,-8.147084032,2.431290103,108.3949518,-0.940102594,-8.048474036
29456,762521,1.00E-05,NCI-H1048,-4.040089773,-1164.624572,99.14688712,-1.251126478,-5.222807512
18834,756659,1.00E-05,NCI-H1048,-4.82756833,-39.41693226,99.464819,-0.699689042,-5.208668776
19924,757149,1.00E-05,NCI-H1048,-7.85223652,6.100979303,91.94415763,-8.118010933,-7.830134789
43245,774901,1.00E-05,NCI-H1048,-6.191366417,49.75333572,105.7312164,-2.88123261,-5.231896212
14369,754367,1.00E-05,NCI-H1048,-5.943057409,9.704632146,97.77323412,-9.541011084,-5.866164242
28907,762153,1.00E-05,NCI-H1048,-5.404050596,-9.123246467,102.3645022,-2.266406832,-5.414397554
9301,698215,1.00E-05,NCI-H1048,-4.999547822,-21.97506218,96.1185804,-1.771616172,-5.138779735
23441,758774,1.00E-05,NCI-H1048,-6.122865502,4.239952669,104.8049978,-1.521377059,-6.074767245
26725,761190,1.00E-05,NCI-H1048,-7.384329777,-1.369845879,94.17406896,-1.04677072,-7.453480397
13113,754350,1.00E-05,NCI-H1048,-5.253736229,-6.043595522,100.3438308,-3.889920639,-5.262578195
13508,754355,1.00E-05,NCI-H1048,-5.313665645,-7.723913503,99.59667016,-1.947132734,-5.339984798
17580,756642,1.00E-05,NCI-H1048,-5.855177704,17.51128688,98.65236252,-0.971835528,-5.664517058
22973,758489,1.00E-05,NCI-H1048,-7.350697859,2.766125059,98.73116709,-2.331755865,-7.329247645
24379,759657,1.00E-05,NCI-H1048,-7.304143185,-4.587852636,107.3420674,-0.732192167,-7.27169655
25316,760143,1.00E-05,NCI-H1048,-6.316046921,0.83802539,104.2888696,-1.317642309,-6.273420395
29535,762598,1.00E-05,NCI-H1048,-7.864364373,7.02513665,101.4634693,-8.320782377,-7.826750691
8284,633782,1.00E-05,NCI-H1048,-5.42422337,-13.75533432,101.2102953,-1.847998291,-5.475423453
14681,755387,1.00E-05,NCI-H1048,-8.689733839,0.352638176,99.93525509,-2.917501297,-8.65935564
17738,756644,1.00E-05,NCI-H1048,-4.063946391,-364.2504256,101.7950288,-0.824340587,-5.198508616
26882,761192,1.00E-05,NCI-H1048,-7.570927143,2.23781972,97.55790335,-2.078165152,-7.581479097
27037,761194,1.00E-05,NCI-H1048,-6.086917493,4.106450197,97.26069226,-4.639677017,-6.136202557
5310,170984,1.00E-05,NCI-H1048,-4.84463712,-36.14954327,90.78983935,-1.94089085,-5.020205929
8441,639186,1.00E-05,NCI-H1048,-7.732844794,8.314717848,103.3346504,-1.202044907,-7.633200071
14603,755386,1.00E-05,NCI-H1048,-8.429447491,1.62323149,86.06740495,-3.368196178,-8.5245309
22269,758254,1.00E-05,NCI-H1048,-7.020968603,0.180846279,98.58366777,-5.990853335,-7.101645745
6798,330507,1.00E-05,NCI-H1048,-6.625486073,0.831232212,99.17844022,-1.66192935,-6.630864392
9689,707545,1.00E-05,NCI-H1048,-7.28602854,2.484969348,102.7324492,-4.554493929,-7.209770165
22346,758255,1.00E-05,NCI-H1048,-7.684229808,0.377897292,98.74553339,-2.038113271,-7.678204328
26647,761189,1.00E-05,NCI-H1048,-8.30374623,0.052452045,100.4400365,-5.01413033,-8.255738397
22057,758252,1.00E-05,NCI-H1048,-7.288644457,-0.533221732,96.32759674,-4.847847743,-7.238958816
20312,757437,1.00E-05,NCI-H1048,-6.09788843,2.305843842,99.21160769,-0.756568955,-6.081790415
26177,760842,1.00E-05,NCI-H1048,-5.364252351,-18.17064057,98.08486925,-1.956453196,-5.437824791
13821,754359,1.00E-05,NCI-H1048,-2.013799047,-287.9277957,143.068979,-0.11295312,-6.973762475
24536,759659,1.00E-05,NCI-H1048,-5.8834434,-11.03078737,93.72216819,-1.365026831,-5.998555299
14291,754366,1.00E-05,NCI-H1048,-6.046350044,-65.63684215,135.1670374,-0.268789176,-6.542723976
35621,766118,1.00E-05,NCI-H1048,-5.525571171,40.7796967,99.27807093,-1.389626534,-5.001166395
31001,764036,1.00E-05,NCI-H1048,-8.623640701,1.025043106,120.6940633,-2.619303265,-8.540491414
32002,764237,1.00E-05,NCI-H1048,-5.59547333,0.233622931,100.0425144,-2.81866708,-5.62301555
34235,765396,1.00E-05,NCI-H1048,-7.549477909,3.198349368,111.5982621,-0.813152186,-7.40275598
34312,765435,1.00E-05,NCI-H1048,-7.93079431,2.934164265,102.2473557,-3.430730323,-7.947322984
34389,765436,1.00E-05,NCI-H1048,-6.004352661,1.432731008,103.6620203,-1.791790033,-5.985565843
36699,766907,1.00E-05,NCI-H1048,-7.738348092,0.111473447,99.04221011,-5.265111196,-7.676351769
37084,767048,1.00E-05,NCI-H1048,-6.794156287,0.789312781,100.0135966,-4.288507482,-6.738424376
37315,767125,1.00E-05,NCI-H1048,-8.081706157,2.61608659,124.7967523,-0.700306568,-7.791874805
30077,763444,1.00E-05,NCI-H1048,-6.637404434,2.037422058,99.12231528,-1.668255137,-6.634802455
32233,764334,1.00E-05,NCI-H1048,-7.865548798,0.22389676,100.3766205,-4.1211528,-7.866283514
32310,764481,1.00E-05,NCI-H1048,-6.175701805,42.24298372,97.64568358,-3.987774507,-5.968777148
36853,766991,1.00E-05,NCI-H1048,-6.572743882,35.05756064,95.37572291,-1.206176248,-6.13596671
28438,761760,1.00E-05,NCI-H1048,-5.696303013,8.563376081,97.26321156,-1.325738865,-5.652947647
30770,763930,1.00E-05,NCI-H1048,-8.617770786,0.912680508,177.3530248,-0.498611702,-7.778624733
32849,764580,1.00E-05,NCI-H1048,-6.054924195,25.28997309,96.77905569,-0.927977662,-5.736723889
34774,765695,1.00E-05,NCI-H1048,-4.449674684,-546.5882165,95.77640608,-1.416161766,-5.312958606
35236,765889,1.00E-05,NCI-H1048,-12.70374347,-115.3586786,387.2265543,-0.062195058,-7.726399815
36391,766824,1.00E-05,NCI-H1048,-6.441980653,18.3673795,97.54799736,-3.081028373,-6.344898392
37623,767470,1.00E-05,NCI-H1048,-8.342358626,3.381226812,96.13201517,-2.845311848,-8.346813159
28361,761759,1.00E-05,NCI-H1048,-7.247848647,4.67495957,95.73505811,-4.824460059,-7.192074431
34081,765262,1.00E-05,NCI-H1048,-5.004774549,-94.0972165,97.32186018,-0.986115437,-5.501455803
34158,765395,1.00E-05,NCI-H1048,-6.168873816,4.719313484,97.52462663,-3.569247201,-6.171549689
32387,764487,1.00E-05,NCI-H1048,-0.156975137,-9237.780318,94.68387408,-0.41795901,-5.729438765
33927,764821,1.00E-05,NCI-H1048,-5.532960359,-6.970355135,95.65495212,-1.957515818,-5.607031505
37238,767124,1.00E-05,NCI-H1048,-5.086527555,21.74931918,93.93736508,-4.633723201,-5.072915554
30616,763832,1.00E-05,NCI-H1048,-6.250937646,-0.045859813,101.6579573,-6.33119297,-6.202739298
31309,764041,1.00E-05,NCI-H1048,-6.017956806,0.371468982,100.4211145,-1.949556757,-6.02765575
36930,766992,1.00E-05,NCI-H1048,-5.895383893,38.07932647,98.32306913,-2.497373825,-5.586722926
31232,764040,1.00E-05,NCI-H1048,-4.898654368,-92.32791924,96.93167048,-1.517370744,-5.265573429
37777,767598,1.00E-05,NCI-H1048,-5.481127629,-17.49257892,102.4238105,-0.932181811,-5.608354657
39009,768070,1.00E-05,NCI-H1048,-6.680102828,35.3464945,102.5502282,-0.76639864,-5.956027158
40934,772255,1.00E-05,NCI-H1048,-8.137205728,1.163058862,101.0400237,-5.013839733,-8.108264117
23207,758627,1.00E-05,NCI-H1048,-5.340250746,-0.531633624,91.63101758,-5.240350714,-5.308505097
37546,767189,1.00E-05,NCI-H1048,-6.945112343,9.629772301,92.1265363,-0.861991222,-6.924520513
38008,767601,1.00E-05,NCI-H1048,-7.076535613,10.10219817,99.01851631,-1.702378972,-7.028101242
41011,772290,1.00E-05,NCI-H1048,-7.202352311,7.597520317,102.431683,-3.362735446,-7.14566979
41319,772498,1.00E-05,NCI-H1048,-6.038229196,20.51468812,98.61667376,-1.154367788,-5.831816741
42859,773262,1.00E-05,NCI-H1048,-6.331357411,6.28326042,103.0372585,-0.839729697,-6.225029458
35698,766254,1.00E-05,NCI-H1048,-7.286152685,-0.611983008,97.46916633,-4.127134353,-7.245129495
39548,768509,1.00E-05,NCI-H1048,-7.646409032,2.630164423,101.1673957,-4.803202127,-7.622034464
41781,772885,1.00E-05,NCI-H1048,-7.388813132,2.779423068,100.4669814,-4.396967466,-7.377230715
39163,768072,1.00E-05,NCI-H1048,-8.316238745,3.757752962,93.14637595,-2.788403438,-8.319725872
40703,772197,1.00E-05,NCI-H1048,-5.679595277,24.65378154,97.40316727,-0.732432248,-5.29354052
37469,767128,1.00E-05,NCI-H1048,-6.89867339,-1.782075356,97.10346135,-0.760395287,-6.955424263
38470,767951,1.00E-05,NCI-H1048,-6.339118343,5.198282093,91.42663828,-10.58649262,-6.228286596
42166,772992,1.00E-05,NCI-H1048,-4.936007777,-106.4066328,106.0204801,-0.50463621,-5.831154779
39394,768112,1.00E-05,NCI-H1048,-8.710350521,-0.179706863,132.6805493,-1.741792312,-8.558872724
33773,764778,1.00E-05,NCI-H1048,-5.162508412,29.28554147,99.69910831,-12.71220871,-5.137480861
38624,767953,1.00E-05,NCI-H1048,-6.313732359,16.33618624,99.83440253,-4.574489508,-6.195580873
40164,771650,1.00E-05,NCI-H1048,-5.20946954,-47.41261749,101.2626526,-0.89330254,-5.53026749
42705,773260,1.00E-05,NCI-H1048,-7.35588592,0.435366807,97.0944494,-2.778608181,-7.352128254
